year,month,day,time,region,ad,Total_Bytes
2018,4,20,20,fra,1,1523777365504
2018,4,20,21,fra,1,1519521131008
2018,4,20,22,fra,1,1519745660416
2018,4,20,23,fra,1,1505995052544
2018,4,21,0,fra,1,1527269005312
2018,4,21,1,fra,1,1527458240512
2018,4,21,2,fra,1,1524997564928
2018,4,21,3,fra,1,1525234422784
2018,4,21,4,fra,1,1521565116928
2018,4,21,5,fra,1,1521782962176
2018,4,21,6,fra,1,1527136299520
2018,4,21,7,fra,1,1527366781440
2018,4,21,8,fra,1,1521567455744
2018,4,21,9,fra,1,1521818714112
2018,4,21,10,fra,1,1520635644416
2018,4,21,11,fra,1,1521473364480
2018,4,21,12,fra,1,1521720975360
2018,4,21,13,fra,1,1519067897856
2018,4,21,14,fra,1,1519295496192
2018,4,21,15,fra,1,1520538352640
2018,4,21,16,fra,1,1520779241984
2018,4,21,17,fra,1,1522864325120
2018,4,21,18,fra,1,1523091999232
2018,4,21,19,fra,1,1524632659456
2018,4,21,20,fra,1,1524842192384
2018,4,21,21,fra,1,1522826679296
2018,4,21,22,fra,1,1523055619072
2018,4,21,23,fra,1,1525609677824
2018,4,22,0,fra,1,1529389484544
2018,4,22,1,fra,1,1529652639232
2018,4,22,2,fra,1,1532433164800
2018,4,22,3,fra,1,1532661541888
2018,4,22,4,fra,1,1531724508160
2018,4,22,5,fra,1,1531941145088
2018,4,22,6,fra,1,1532711863808
2018,4,22,7,fra,1,1532953728512
2018,4,22,8,fra,1,1526796585472
2018,4,22,9,fra,1,1527032646656
2018,4,22,10,fra,1,1525746925056
2018,4,22,11,fra,1,1525998681088
2018,4,22,12,fra,1,1526555669504
2018,4,22,13,fra,1,1526786930688
2018,4,22,14,fra,1,1509649962496
2018,4,22,15,fra,1,1525507306496
2018,4,22,16,fra,1,1525753658368
2018,4,22,17,fra,1,1528269447680
2018,4,22,18,fra,1,1528482546176
2018,4,22,19,fra,1,1524873253888
2018,4,22,20,fra,1,1525090630656
2018,4,22,21,fra,1,1529994263040
2018,4,22,22,fra,1,1530215472640
2018,4,22,23,fra,1,1525412158976
2018,4,23,0,fra,1,1525642961408
2018,4,23,1,fra,1,1525084509184
2018,4,23,2,fra,1,1525314990592
2018,4,23,3,fra,1,1516717340160
2018,4,23,4,fra,1,1528526986240
2018,4,23,5,fra,1,1528792391168
2018,4,23,6,fra,1,1533513047040
2018,4,23,7,fra,1,1533731249152
2018,4,23,8,fra,1,1532137522688
2018,4,23,9,fra,1,1532361225216
2018,4,23,10,fra,1,1530795237888
2018,4,23,11,fra,1,1530993767936
2018,4,23,12,fra,1,1525501107712
2018,4,23,13,fra,1,1525760085504
2018,4,23,14,fra,1,1527757261824
2018,4,23,15,fra,1,1527993543680
2018,4,23,16,fra,1,1522248979968
2018,4,23,17,fra,1,1534593081344
2018,4,23,18,fra,1,1534794309632
2018,4,23,19,fra,1,1536712456704
2018,4,23,20,fra,1,1536939796480
